datetime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2020-03-10 16:02:03.769306,0.012,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.774515,0.011,-0.007,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.779653,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.784792,0.012,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.800044,0.011,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:03.815437,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.815485,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.815556,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.815572,0.012,-0.005,1.032,0.21,0.49,0.98
2020-03-10 16:02:03.815668,0.011,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.815683,0.012,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.815693,0.011,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.815704,0.01,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.823012,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.823050,0.012,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.823137,0.012,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.823241,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.828374,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.843811,0.011,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.864313,0.01,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.874709,0.011,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.879892,0.012,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.879985,0.01,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.880008,0.011,-0.007,1.031,0.21,0.56,0.98
2020-03-10 16:02:03.885132,0.011,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.900479,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.905945,0.011,-0.006,1.032,0.21,0.49,0.98
2020-03-10 16:02:03.916254,0.011,-0.005,1.033,0.21,0.49,1.05
2020-03-10 16:02:03.916288,0.011,-0.005,1.03,0.21,0.49,0.98
2020-03-10 16:02:03.916377,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.916402,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.921680,0.011,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.921714,0.011,-0.005,1.031,0.21,0.56,0.98
2020-03-10 16:02:03.942177,0.011,-0.006,1.033,0.21,0.49,1.05
2020-03-10 16:02:03.957602,0.01,-0.005,1.032,0.21,0.56,0.98
2020-03-10 16:02:03.967944,0.011,-0.006,1.03,0.14,0.49,1.05
2020-03-10 16:02:03.973156,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.978353,0.012,-0.004,1.032,0.21,0.56,0.98
2020-03-10 16:02:03.988782,0.01,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.999044,0.011,-0.006,1.031,0.21,0.49,1.05
